u,g,r,i,z,redshift
22.97061,21.93949,20.07447,19.07942,18.55253,0.5597987
19.53048,19.17373,19.20289,19.00891,19.29478,0.649371
21.08846,20.93559,20.9081,20.53482,20.53682,1.71852
19.34779,19.22474,18.88791,18.85994,18.75049,1.005142
19.20986,18.14865,17.66435,17.33763,17.11381,0.1115865
23.15123,22.39824,21.06105,19.91726,19.64581,0.5562392
23.2958,20.66669,19.83359,19.57327,19.31511,-0.0004568753
25.54351,22.78035,20.87148,19.81041,19.1011,0.6548309
24.55067,22.53019,20.42996,19.53134,19.04822,0.4264939
26.01631,21.00772,19.10743,18.43264,17.91191,0.317504
18.87941,17.3754,16.72976,16.46173,16.33253,-9.799133e-05
22.68433,21.82676,21.36917,21.52843,20.76016,2.152114
18.61399,16.61892,15.62664,15.20434,14.84488,0.09831793
20.96391,19.33988,18.58661,18.23541,18.0356,-0.0004218335
21.48686,21.3884,21.40367,21.17644,21.90417,2.016788
23.2058,20.97005,19.71408,19.23162,18.95783,-5.525164e-05
24.5114,23.87466,21.79861,20.62796,19.97372,0.7562183
21.50927,19.96114,19.25214,18.90487,18.72696,-6.694263e-06
22.42263,20.78117,19.05035,18.40545,18.11296,0.3112189
20.79165,19.73825,19.30806,19.134,19.06877,1.075639
24.31329,22.0504,21.8876,22.05304,22.42229,2.963822
19.8941,18.88536,18.4959,18.33866,18.27925,0.0001172753
19.66412,18.72259,18.46322,18.38324,18.35534,-5.024764e-05
24.78113,21.76397,20.2202,19.37257,19.07483,0.4674323
22.6396,22.36626,21.77886,21.00205,20.86647,0.6477484
20.00226,18.30381,17.28042,16.80649,16.43056,0.1007993
20.39277,18.69942,17.57534,17.09587,16.79564,0.2266518
20.18571,18.15556,17.12852,16.66744,16.32648,0.1025154
22.16654,20.40005,19.48256,19.4594,19.39557,3.593725
24.52506,21.29109,20.87028,20.73402,21.31626,3.329397
24.47372,20.46426,18.79744,18.15407,17.76812,0.3211563
25.41272,21.68015,19.99474,18.95182,18.60567,0.5124109
24.93856,22.53424,21.33839,20.33962,19.36987,0.7467259
22.95262,21.46405,20.51028,20.10516,19.94145,0.1879821
26.59857,24.78303,22.32547,21.06036,19.92625,0.8379725
23.04229,22.26131,21.62223,20.89103,20.07039,0.8813419
20.90014,21.07126,20.82303,20.66654,20.90023,1.223465
23.55415,22.23445,20.65623,19.75981,19.3162,0.5130421
17.90446,16.93312,16.6531,16.54649,16.51335,0.0001803373
22.13642,20.52683,18.71753,18.13551,17.70454,0.335395
22.84851,21.66978,19.95714,19.06353,18.44994,0.4797749
27.31646,21.9309,20.0627,19.02685,18.49504,0.5373952
23.5246,21.21502,19.44934,18.76822,18.30906,0.3828913
24.09306,23.2243,21.12547,19.99371,19.51836,0.6522747
22.21124,22.2509,21.36069,20.71272,20.71292,0.7667473
22.25265,21.86181,21.7513,21.90608,22.88196,2.603813
23.39986,20.57654,18.83926,18.21369,17.82108,0.314936
18.16534,18.21592,18.54612,18.76851,19.11022,-8.452588e-05
26.14695,22.07939,22.49619,21.41421,19.97126,0.9952204
19.61368,18.43802,17.78198,17.38856,17.10576,0.1318668
24.11551,23.1128,21.27896,20.59968,19.81401,0.4860227
22.57207,20.45938,18.93648,18.22561,17.87848,0.2817512
18.94844,17.44705,16.92076,16.70811,16.64397,-3.486339e-06
19.41632,17.98039,17.27632,16.91911,16.63552,0.0771419
19.93094,18.03067,17.10337,16.65055,16.31116,0.1051212
23.58566,20.88445,19.15043,18.50871,18.08031,0.3681055
25.10174,23.06618,22.557,21.52077,20.81181,1.017365
24.58625,21.80984,20.28409,19.46775,19.01881,0.3118323
22.00416,20.08902,18.31464,17.68482,17.36099,0.3340136
